"name","norad_id","launch_date","decay_date","end_date","time_days","event","activity_snapshot","launch_site","country","users","purpose","orbit_altitude_class","orbit_geometry_type","launch_vehicle","mass","expected_lifetime","perigee","apogee","inclination","period","expected_lifetime_missing","log_mass","log_perigee","log_apogee","purpose_grouped","users_grouped","orbit_type_grouped","country_grouped","launch_region","launch_vehicle_group"
"OSCAR 7 (AO-7)",7530,"1974-11-15",NA,"2026-04-21",18785,0,"active","AFWTR","USA","Civil","Communications","LEO","Polar","Delta 2310",29,4,1440,1458,101.99,114.86,1,3.36729582998647,7.27309259599952,7.28550654852279,"Communications","Civil","Polar","US","US","Delta"
"TDRS 3",19548,"1988-09-29",NA,"2026-04-21",13718,0,"active","AFETR","USA","Government","Communications","GEO","Unknown","Space Shuttle (STS 26)",3180,10,35612,35958,12.65,1436.02,0,8.06463647577422,10.4804660187216,10.4901346795226,"Communications","Government","Other","US","US","Space Shuttle"
"FLTSATCOM 8 (USA 46)",20253,"1989-09-25",NA,"2026-04-21",13357,0,"active","AFETR","USA","Military","Communications","GEO","Unknown","Atlas Centaur",2310,5,35756,35821,12.44,1436.21,0,7.74500280351584,10.4845013331508,10.4863175087852,"Communications","Military","Other","US","US","Atlas"
"HST",20580,"1990-04-24",NA,"2026-04-21",13146,0,"active","AFETR","ESA","Government","Space Science","LEO","Non-Polar Inclined","Space Shuttle (STS 31)",11110,10,474,477,28.47,94.11,0,9.31560088263368,6.16331480403464,6.16961073249146,"Science","Government","Inclined","Europe","US","Space Shuttle"
"SKYNET 4C",20776,"1990-08-30",NA,"2026-04-21",13018,0,"active","FRGUI","United Kingdom","Military","Communications","GEO","Unknown","Ariane 44LP",1474,7,35775,35796,13.36,1436.06,0,7.29573507274928,10.4850325565148,10.4856193699948,"Communications","Military","Other","Europe","Europe","Ariane"
"TDRS 5",21639,"1991-08-02",NA,"2026-04-21",12681,0,"active","AFETR","USA","Government/Commercial","Communications","GEO","Unknown","Space Shuttle (STS 43)",3180,10,35752,35823,14.08,1436.16,0,8.06463647577422,10.4843894606853,10.4863733388385,"Communications","Mixed","Other","US","US","Space Shuttle"
"TDRS 6",22314,"1993-01-13",NA,"2026-04-21",12151,0,"active","AFETR","USA","Government/Commercial","Communications","GEO","Unknown","Space Shuttle (STS 54)",3180,10,35762,35809,14.18,1436.03,0,8.06463647577422,10.4846691183861,10.4859824629925,"Communications","Mixed","Other","US","US","Space Shuttle"
"UFO 2 (USA 95)",22787,"1993-09-03",NA,"2026-04-21",11918,0,"active","AFETR","USA","Military","Communications","GEO","Unknown","Atlas 2",3200,4,35747,35824,11.87,1436.05,1,8.07090608878782,10.4842496025013,10.4864012526964,"Communications","Military","Other","US","US","Atlas"
"USA 99 (MILSTAR-1 1)",22988,"1994-02-07",NA,"2026-04-21",11761,0,"active","AFETR","USA","Military","Communications","GEO","Unknown","Titan 4A",4536,10,35772,35800,17.53,1436.07,0,8.41980084540759,10.4849486979003,10.4857311049596,"Communications","Military","Other","US","US","Other"
"USA 105",23223,"1994-08-27",NA,"2026-04-21",11560,0,"active","AFETR","USA","Military","Earth Observation","GEO","Unknown","Titan IVA",8000,4,36188,36210,13.31,1457.2,1,8.98719682066197,10.4965104842335,10.4971182190588,"Earth Observation","Military","Other","US","US","Other"
"UFO 4 (USA 108)",23467,"1995-01-29",NA,"2026-04-21",11405,0,"active","AFETR","USA","Military","Communications","GEO","Unknown","Atlas 2",3200,4,35772,35801,9.71,1436.09,0,8.07090608878782,10.4849486979003,10.4857590367501,"Communications","Military","Other","US","US","Atlas"
"TDRS 7",23613,"1995-07-13",NA,"2026-04-21",11240,0,"active","AFETR","USA","Government","Communications","GEO","Unknown","Space Shuttle (STS 70)",3180,10,35739,35830,13.4,1435.98,0,8.06463647577422,10.4840257887134,10.4865687194825,"Communications","Government","Other","US","US","Space Shuttle"
"USA 118",23855,"1996-04-24",NA,"2026-04-21",10954,0,"active","AFETR","USA","Military","Earth Observation","GEO","Unknown","Titan IVA",8000,4,36155,36233,8.07,1456.96,1,8.98719682066197,10.4955981889183,10.497753183536,"Earth Observation","Military","Other","US","US","Other"
"USA 119",23893,"1996-05-12",NA,"2026-04-21",10936,0,"active","AFWTR","USA","Military","Communications","ELLIPTICAL","Molniya","Titan IV",260,4,453,1720,63.32,106.98,1,5.56068163101553,6.11809719804135,7.45066079621154,"Communications","Military","Other","US","US","Other"
"INMARSAT 3-F3",24674,"1996-12-18",NA,"2026-04-21",10716,0,"active","AFETR","United Kingdom","Commercial","Communications","GEO","Unknown","Atlas",2074,13,35847,35890,10.19,1440.27,0,7.63723438878947,10.487043056466,10.488241846668,"Communications","Commercial","Other","Europe","US","Atlas"
"NAVSTAR 43 (USA 132)",24876,"1997-07-23",NA,"2026-04-21",10499,0,"active","AFETR","USA","Military/Commercial","Navigation/Global Positioning","MEO","Non-Polar Inclined","Delta 2",2217,10,19918,20447,55.96,717.98,0,7.70391020961631,9.89942932907527,9.92564035717726,"Navigation","Mixed","Inclined","US","US","Delta"
"FORTE",24920,"1997-08-29",NA,"2026-04-21",10462,0,"active","WRAS","USA","Government","Earth Observation","LEO","Polar","Pegasus XL",215,3,783,815,69.95,100.85,0,5.37063802812766,6.66440902035041,6.70441435496411,"Earth Observation","Government","Polar","US","Other","Other"
"AMC-3",24936,"1997-09-04",NA,"2026-04-21",10456,0,"active","AFETR","USA","Commercial","Communications","GEO","Unknown","Atlas 2AS",2845,15,35774,35799,8,1436.11,0,7.95331834656043,10.4850046044247,10.4857031723888,"Communications","Commercial","Other","US","US","Atlas"
"USA 134",25019,"1997-10-25",NA,"2026-04-21",10405,0,"active","AFETR","USA","Military","Communications","GEO","Unknown","Delta 4",1156,10,35761,35811,12.72,1436.06,0,7.05272104923232,10.4846411561351,10.486038311754,"Communications","Military","Other","US","US","Delta"
"USA 136",25034,"1997-11-08",NA,"2026-04-21",10391,0,"active","AFETR","USA","Military","Earth Observation","ELLIPTICAL","Unknown","Titan IVA",8000,4,3165,37192,64.67,717.81,1,8.98719682066197,8.06022424044096,10.5238758505116,"Earth Observation","Military","Other","US","US","Other"
"ORBCOMM FM06",25118,"1997-12-23",NA,"2026-04-21",10346,0,"active","ERAS","USA","Commercial","Communications","LEO","Non-Polar Inclined","Pegasus",45,5,733,735,45.01,99.49,0,3.80666248977032,6.59850902861452,6.60123011872888,"Communications","Commercial","Inclined","US","Other","Other"
"INMARSAT 3-F5",25153,"1998-02-04",NA,"2026-04-21",10303,0,"active","FRGUI","United Kingdom","Commercial","Communications","GEO","Unknown","Ariane 44L",2000,13,35766,35806,9.56,1436.06,0,7.60090245954208,10.4847809595717,10.4858986840014,"Communications","Commercial","Other","Europe","Europe","Ariane"
"ORBCOMM FM04",25159,"1998-02-10",NA,"2026-04-21",10297,0,"active","AFWTR","USA","Commercial","Communications","LEO","Polar","Taurus",45,5,745,801,107.96,100.31,0,3.80666248977032,6.61472560020376,6.68710860786651,"Communications","Commercial","Polar","US","US","Other"
