"name","norad_id","launch_date","decay_date","time_days","event","end_date","activity_snapshot","launch_site","orbit_center","orbit_class","orbit_type","object_type","owner","country_owner","users","purpose","launch_vehicle","perigee","apogee","inclination","period","mass","expected_lifetime","expected_lifetime_missing"
"OSCAR 7 (AO-7)",7530,1974-11-15,NA,17699,0,2023-05-01,"active","AFWTR","EA","LEO","Polar","PAY","US","USA","Civil","Communications","Delta 2310",1440,"1459",101.4,114.9,29,4,1
"TDRS 3",19548,1988-09-29,NA,12632,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Space Shuttle (STS 26)",35693,"35878",11.53,1436.06,3180,10,0
"FLTSATCOM 8 (USA 46)",20253,1989-09-25,NA,12271,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas Centaur",35745,"35829",8.97,1436.13,2310,5,0
"HST",20580,1990-04-24,NA,12060,0,2023-05-01,"active","AFETR","EA","LEO","Non-Polar Inclined","PAY","US","ESA","Government","Space Science","Space Shuttle (STS 31)",555,"559",28.5,95.8,11110,10,0
"SKYNET 4C",20776,1990-08-30,NA,11932,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","UK","United Kingdom","Military","Communications","Ariane 44LP",35785,"35787",13.6,1436.07,1474,7,0
"TDRS 5",21639,1991-08-02,NA,11595,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government/Commercial","Communications","Space Shuttle (STS 43)",35773,"35796",9.4,1436.99,3180,10,0
"TDRS 6",22314,1993-01-13,NA,11065,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government/Commercial","Communications","Space Shuttle (STS 54)",35773,"35787",8.74,1435.7,3180,10,0
"UFO 2 (USA 95)",22787,1993-09-03,NA,10832,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35766,"35807",8.27,1436.12,3200,4,1
"USA 99 (MILSTAR-1 1)",22988,1994-02-07,NA,10675,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Titan 4A",35754,"35819",5.99,1436.13,4536,10,0
"USA 105",23223,1994-08-27,NA,10474,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",35598,"35976",5.1,1436.13,8000,4,1
"UFO 4 (USA 108)",23467,1995-01-29,NA,10319,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35763,"35775",3.34,1435.22,3200,4,0
"TDRS 7",23613,1995-07-13,NA,10154,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Space Shuttle (STS 70)",35767,"35803",10.6,1436.04,3180,10,0
"USA 118",23855,1996-04-24,NA,9868,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",33674,"37900",7.33,1436.12,8000,4,1
"USA 119",23893,1996-05-12,NA,9850,0,2023-05-01,"active","AFWTR","EA","Elliptical","Molniya","PAY","US","USA","Military","Communications","Titan IV",1200,"11600",63.4,240,260,4,1
"INMARSAT 3-F3",24674,1996-12-18,NA,9630,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","IM","United Kingdom","Commercial","Communications","Atlas",35761,"35810",0.09,1436.07,2074,13,0
"NAVSTAR 43 (USA 132)",24876,1997-07-23,NA,9413,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20123,"20247",54.9,718.09,2217,10,0
"FORTE",24920,1997-08-29,NA,9376,0,2023-05-01,"active","WRAS","EA","LEO","Polar","PAY","US","USA","Government","Earth Observation","Pegasus XL",790,"823",70,101,215,3,0
"AMC-3",24936,1997-09-04,NA,9370,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","SES","USA","Commercial","Communications","Atlas 2AS",35777,"35795",0.02,1436.08,2845,15,0
"USA 134",25019,1997-10-25,NA,9319,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Delta 4",35757,"35817",2.54,1436.1,1156,10,0
"USA 136",25034,1997-11-08,NA,9305,0,2023-05-01,"active","AFETR","EA","Elliptical","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",1210,"38740",64.7,709.61,8000,4,1
"ORBCOMM FM06",25118,1997-12-23,NA,9260,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus",772,"774",45,100.3,45,5,0
"INMARSAT 3-F5",25153,1998-02-04,NA,9217,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","IM","United Kingdom","Commercial","Communications","Ariane 44L",35769,"35803",0.04,1436.07,2000,13,0
"ORBCOMM FM04",25159,1998-02-10,NA,9211,0,2023-05-01,"active","AFWTR","EA","LEO","Polar","PAY","ORB","USA","Commercial","Communications","Taurus",768,"838",108,100.9,45,5,0
"USA 139",25336,1998-05-09,NA,9123,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVA",35560,"36013",7.72,1436.14,5200,4,1
"ORBCOMM FM19",25415,1998-08-02,NA,9038,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",788,"795",45,100.7,45,5,0
"ORBCOMM FM20",25416,1998-08-02,NA,9038,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",791,"792",45,100.7,45,5,0
"ORBCOMM FM27",25481,1998-09-23,NA,8986,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus",790,"792",45,100.7,45,5,0
"SCD 2",25504,1998-10-23,NA,8956,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","BRAZ","Brazil","Government","Earth Observation","Pegasus",735,"760",25,99.8,110,3,0
"ISS (ZARYA)",25544,1998-11-20,NA,8928,0,2023-05-01,"active","TYMSC","EA","LEO","Non-Polar Inclined","PAY","ISS","Multinational","Government","Space Science","Proton",401,"422",51.6,92.8,260,30,0
"DLR-TUBSAT",25757,1999-05-26,NA,8741,0,2023-05-01,"active","SRILR","EA","LEO","Sun-Synchronous","PAY","GER","Germany","Government","Earth Science","PSLV C2",712,"732",98.6,99.2,45,1,0
"CXO",25867,1999-07-23,NA,8683,0,2023-05-01,"active","AFETR","EA","Elliptical","Deep Highly Eccentric","PAY","US","USA","Government","Space Science","Space Shuttle (STS 93)",9999,"138825",28.5,3808.92,4742,5,0
"ABS-6",25924,1999-09-26,NA,8618,0,2023-05-01,"active","TYMSC","EA","GEO","Unknown","PAY","ABS","Multinational","Commercial","Communications","Proton",35777,"35794",0.01,1436.08,2894,15,0
"NAVSTAR 46 (USA 145)",25933,1999-10-07,NA,8607,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20096,"20268",53,717.97,2217,10,0
"UFO 10 (USA 146)",25967,1999-11-23,NA,8560,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Communications","Atlas 2",35738,"35834",1.97,1436.1,3200,4,0
"ORBCOMM FM32",25982,1999-12-04,NA,8549,0,2023-05-01,"active","ERAS","EA","LEO","Non-Polar Inclined","PAY","ORB","USA","Commercial","Communications","Pegasus XL",786,"796",45,100.7,45,5,0
"XMM-NEWTON",25989,1999-12-10,NA,8543,0,2023-05-01,"active","FRGUI","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Ariane 5",7079,"114027",38.4,2872.15,3764,10,0
"TERRA",25994,1999-12-18,NA,8535,0,2023-05-01,"active","AFWTR","EA","LEO","Sun-Synchronous","PAY","US","USA/Canada/Japan","Government","Earth Observation","Atlas 2AS",702,"703",98.2,98.8,4854,6,0
"ASIASTAR",26107,2000-03-21,NA,8441,0,2023-05-01,"active","FRGUI","EA","GEO","Unknown","PAY","US","USA","Commercial","Communications","Ariane 5G",35773,"35801",0.02,1436.15,2775,15,0
"USA 149 (DSP 20)",26356,2000-05-08,NA,8393,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Military","Earth Observation","Titan IVB",35897,"35909",4.08,142.08,2380,9,0
"TDRS 8",26388,2000-06-30,NA,8340,0,2023-05-01,"active","AFETR","EA","GEO","Unknown","PAY","US","USA","Government","Communications","Atlas 2A",35768,"35808",0.9,1436.2,3180,11,0
"NAVSTAR 48 (USA 151)",26407,2000-07-16,NA,8324,0,2023-05-01,"active","AFETR","EA","MEO","Non-Polar Inclined","PAY","US","USA","Military/Commercial","Navigation/Global Positioning","Delta 2",20184,"20427",55,722.98,2217,10,0
"CLUSTER II-FM7 (SAMBA)",26410,2000-07-16,NA,8324,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",21998,"110256",90.7,3418.2,1200,4,0
"CLUSTER II-FM6 (SALSA)",26411,2000-07-16,2024-09-08,8324,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",22017,"110791",132.98,3430.28,1200,4,0
"CLUSTER II-FM5 (RUMBA)",26463,2000-08-09,2025-10-22,8300,0,2023-05-01,"active","TYMSC","EA","Elliptical","Deep Highly Eccentric","PAY","ESA","ESA","Government","Space Science","Soyuz",17240,"120715",90.8,3431.1,1200,4,0
